"20191014_Toxoplasma_TMT_FullExperiment, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128N:126C.127C.127N, turborah.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128C:126C.127C.127N, turborah.mock.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129N:126C.127C.127N, turborah.toxo.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129C:126C.127C.127N, turborah.mock.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130N:126C.127C.127N, turborah.toxo.r3:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131N:126C.127C.127N, turborah.toxo.r4:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean"	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191014_Toxoplasma_TMT_FullExperiment unique_peptides	20191014_Toxoplasma_TMT_FullExperiment numSpectra	20191014_Toxoplasma_TMT_FullExperiment totalIntensity	20191014_Toxoplasma_TMT_FullExperiment pct_cov
0	0.494	-0.449	2.543	2.66	2.703	2.797	2.802	3.853	2.683	4.006	P62829	P62829	1	63	14	14	P62829|J3KT29|J3KTJ3|B9ZVP7	HUMAN	14979.3	76.4	618	618.1	251.52	251.52	60S ribosomal protein L23	14	63	3.89E+10	76.40%
0	0.151	-0.42	3.067	3.334	3.195	3.355	3.363	4.333	3.284	4.441	Q96PE1	Q96PE1	1	36	13	13	Q96PE1|Q96PE1-2|Q96PE1-3	HUMAN	144984.1	14.3	619	619.1	251.35	251.35	Adhesion G protein-coupled receptor A2	13	36	4.94E+09	14.30%
0	0.503	-0.137	4.383	3.86	4.562	4.044	4.512	4.181	4.543	4.325	Q86VY9	Q86VY9	1	32	15	15	Q86VY9	HUMAN	54583.3	37.2	620	620.1	251.04	251.04	Transmembrane protein 200A	15	32	2.45E+09	37.20%
0	0.418	-0.664	2.896	2.65	2.726	2.701	2.91	3.731	2.818	3.799	F5H2F4	F5H2F4	1	28	19	19	F5H2F4|P11586	HUMAN	111409.8	22.6	621	621.1	250.06	250.06	C-1-tetrahydrofolate synthase cytoplasmic	19	28	3.37E+09	22.60%
0	0.744	-1.179	3.45	3.448	3.647	3.65	3.624	4.725	3.525	4.861	Q5TCZ1	Q5TCZ1	1	26	17	0	Q5TCZ1|Q5TCZ1-3	HUMAN	125971.7	18.1	622	622.1	250.05	0	SH3 and PX domain-containing protein 2A	17	26	4.33E+09	18.10%
	1.906		5.564	5.364	5.618	5.732	5.996	6.343	5.789	6.55	Q5TCZ1-2	Q5TCZ1-2	1	1	17	1	Q5TCZ1-2	HUMAN	103129.8	22.3	622	622.2	241.14	4.57	Isoform 2 of SH3 and PX domain-containing protein 2A	1	1	13700000	1.20%
0	0.804	-0.548	3.666	3.257	3.477	3.617	3.716	5.306	3.587	5.26	A1X283	A1X283	1	20	16	14	A1X283|G3V144	HUMAN	102033.7	22.8	622	622.3	230.64	207.18	SH3 and PX domain-containing protein 2B	14	20	3.20E+10	20.80%
0	0.583	-0.699	2.856	2.775	2.871	2.855	2.86	4.394	2.886	4.495	Q15019-2	Q15019-2	1	29	15	15	Q15019-2|Q15019-3|Q15019|B5MCX3|F8WB65	HUMAN	45745.4	50.2	623	623.1	249.57	249.57	Isoform 2 of Septin-2	15	29	2.47E+09	50.20%
0	0.408	-0.512	3.399	3.419	3.615	3.503	3.592	4.718	3.659	4.781	Q9ULH0	Q9ULH0	1	29	23	23	Q9ULH0|Q9ULH0-4|Q9ULH0-2|A0A1W2PPB7|Q9ULH0-3|Q9ULH0-5|F8WAY8	HUMAN	198136.2	13.5	624	624.1	249.39	249.39	Kinase D-interacting substrate of 220 kDa	23	29	3.49E+09	13.50%
0	0.264	-1.524	2.746	2.647	2.541	2.654	2.735	3.604	2.574	3.518	O00567	O00567	1	33	15	15	O00567	HUMAN	66448.1	31.3	625	625.1	249.21	249.21	Nucleolar protein 56	15	33	6.03E+09	31.30%
0.558	0	-1.468	3.972	4.134	3.941	4.426	4.297	3.822	4.144	3.997	Q96SK2	Q96SK2	1	23	13	13	Q96SK2|Q96SK2-2|Q96SK2-3	HUMAN	63319.9	36.3	626	626.1	249.21	249.21	Transmembrane protein 209	13	23	2.66E+09	36.30%
0	0.455	-1.117	2.702	2.642	2.762	2.76	2.706	4.006	2.67	4.068	P78371	P78371	1	28	15	15	P78371|P78371-2|F5GWF6|F8VQ14	HUMAN	57829.5	37.7	627	627.1	249.17	249.17	T-complex protein 1 subunit beta	15	28	1.80E+09	37.70%
0	0.319	-0.458	3.824	3.623	3.692	4.03	3.788	4.403	3.712	4.335	Q96QT4	Q96QT4	1	25	18	16	Q96QT4|H0YLN8|Q7Z4N2-5|A0A0G2JN34|Q7Z4N2-6|A0A0G2JMR4|A0A0G2JPN6|Q7Z4N2|A0A0G2JMJ5|Q7Z4N2-3|Q7Z4N2-2	HUMAN	214804.2	12.3	628	628.1	248.34	223.22	Transient receptor potential cation channel subfamily M member 7	18	25	1.30E+09	12.30%
											Q9BX84	Q9BX84	1	1	3	1	Q9BX84|Q9BX84-2|Q9BX84-3|Q9BX84-4	HUMAN	233871.6	1.4	628	628.2	31.45	6.33	Transient receptor potential cation channel subfamily M member 6	1	1	2.97E+08	0.60%
0	0.624	-0.555	3.12	2.9	3.016	2.968	3.195	4.628	3.006	4.734	Q6IBS0	Q6IBS0	1	32	13	13	Q6IBS0|D6RG15|Q9NR96-4|Q9NR96-3|Q9NR96|Q9NR96-5|Q9NR96-2	HUMAN	39775.5	49.5	629	629.1	248.3	248.3	Twinfilin-2	14	32	4.37E+09	49.50%
0	0.854	-0.605	3.097	3.022	3.238	3.079	3.323	5.106	3.209	5.203	Q15386	Q15386	1	29	16	16	Q15386|Q15386-2	HUMAN	125004.4	19.2	630	630.1	248.18	248.18	Ubiquitin-protein ligase E3C	16	29	1.73E+09	19.20%
0	1.122	-0.947	2.867	2.9	2.914	3.182	3.062	5.466	3.053	5.501	Q9ULH1	Q9ULH1	1	23	16	16	Q9ULH1|A0A0A0MRE5|Q9ULH1-2	HUMAN	126465.6	18	631	631.1	247.24	247.24	Arf-GAP with SH3 domain ANK repeat and PH domain-containing protein 1	16	23	1.21E+09	18.00%
0	0.952	-0.551	3.937	3.063	3.699	3.182	3.769	5.277	3.73	5.315	P05120	P05120	1	50	15	15	P05120	HUMAN	46880.7	41.4	632	632.1	246.91	246.91	Plasminogen activator inhibitor 2	15	50	4.41E+09	41.40%
0	0.58	-0.58	3.875	3.948	4.165	4.113	4.274	4.712	4.103	4.752	Q9NUY8	Q9NUY8	1	25	16	16	Q9NUY8|Q9NUY8-2|E9PGE5	HUMAN	79176.3	24.8	633	633.1	246.74	246.74	TBC1 domain family member 23	16	25	3.08E+09	24.80%
0	1.253	-0.812	3.401	3.149	3.413	3.419	3.572	5.593	3.442	5.661	Q9UH65	Q9UH65	1	28	16	16	Q9UH65|E7EMB1|E9PJK8	HUMAN	69395.8	31.4	634	634.1	246.53	246.53	Switch-associated protein 70	16	28	1.91E+09	31.40%
0	0.504	-0.499	3.762	3.833	3.656	3.828	3.787	4.498	3.775	4.579	P52594-4	P52594-4	1	74	13	13	P52594-4|P52594|P52594-3|P52594-2|B8ZZY2	HUMAN	61108.2	25.5	635	635.1	246.29	246.29	Isoform 4 of Arf-GAP domain and FG repeat-containing protein 1	13	74	2.30E+10	25.50%
0.217	0	-1.153	2.337	2.227	2.453	2.594	2.37	3.129	2.293	3.133	Q9Y6N5	Q9Y6N5	1	26	16	16	Q9Y6N5	HUMAN	50245.1	46.6	636	636.1	246.18	246.18	Sulfide:quinone oxidoreductase mitochondrial	16	26	2.18E+09	46.60%
0	1.045	-0.435	2.813	2.758	2.696	2.516	2.744	4.463	2.651	4.519	P15311	P15311	1	29	16	11	P15311|E7EQR4	HUMAN	69525.7	30	637	637.1	246.06	189.27	Ezrin	16	29	1.07E+10	30.00%
0	1.081	-0.152	2.544	2.398	2.293	2.585	2.508	3.651	2.142	3.93	P26038	P26038	1	9	12	6	P26038	HUMAN	67933	23.3	637	637.2	162.72	97.11	Moesin	6	9	4.48E+08	13.80%
-0.3	1.269	-1.29	2.304	1.723	2.266	1.896	2.427	4.065	2.321	3.951	P35241-5	P35241-5	1	2	7	2	P35241-5|P35241|P35241-4|P35241-2	HUMAN	71218.8	11.4	637	637.3	70.51	17.82	Isoform 5 of Radixin	2	2	1.39E+09	3.40%
0	0.461	-0.675	2.68	0.843	2.66	1.152	2.822	3.933	2.693	3.948	TGGT1_239100-t26_1-p1	TGGT1_239100	1	30	15	15	TGGT1_239100-t26_1-p1	Toxoplasma_gondii_GT1	22644.3	62.7	638	638.1	245.43	245.43	TGGT1_239100	15	30	1.90E+09	62.70%
0	0.777	-0.53	3.185	3.235	3.317	3.43	3.332	5.361	3.399	5.511	Q9BYX2	Q9BYX2	1	28	16	16	Q9BYX2|Q9BYX2-2|Q9BYX2-3|Q9BYX2-4|Q9BYX2-5|Q9BYX2-6	HUMAN	106324.8	23.8	639	639.1	245.36	245.36	TBC1 domain family member 2A	16	28	2.67E+09	23.80%
0	0.454	-1.141	2.708	2.616	2.823	2.841	2.821	4.039	2.783	4.056	A0A087X2I1	A0A087X2I1	1	31	17	17	A0A087X2I1|P62333|H0YJT1|H0YJE9	HUMAN	46081.5	46.4	640	640.1	244.97	244.97	26S proteasome regulatory subunit 10B	17	31	1.34E+09	46.40%
0	0.681	-0.653	3.555	3.374	3.563	3.548	3.622	4.108	3.579	4.191	P05023-4	P05023-4	1	26	18	18	P05023-4|P05023|P05023-3|P05023-2|A0A0A0MT26|P13637-2|P13637-3|P13637|M0R116|P50993|B1AKY9|Q13733|P20648|P54707-2|P54707|E9PRA5	HUMAN	114310.4	20.2	641	641.1	244.62	244.62	Isoform 4 of Sodium/potassium-transporting ATPase subunit alpha-1	18	26	4.35E+09	20.20%
0	0.375	-1.718	3.266	3.155	3.333	3.408	3.5	4.428	3.431	4.527	A0A0A0MRI2	A0A0A0MRI2	1	30	18	18	A0A0A0MRI2|Q9UNH7|Q9UNH7-2|Q86XE0|Q86XE0-2	HUMAN	48145.7	41.8	642	642.1	244.36	244.36	Sorting nexin	18	30	1.86E+09	41.80%
0	0.672	-0.816	3.21	3.028	3.208	3.255	3.416	4.243	3.221	4.473	O00410	O00410	1	24	16	16	O00410|O00410-3|O00410-2|E7EQT5	HUMAN	125111.2	23.3	643	643.1	244.22	244.22	Importin-5	16	24	6.44E+08	23.30%
0	0.17	-0.157	4.066	4.006	4.224	4.138	3.975	4.475	4.187	4.864	P98170	P98170	1	23	15	15	P98170	HUMAN	57824.9	41	644	644.1	244.13	244.13	E3 ubiquitin-protein ligase XIAP	15	23	2.33E+09	41.00%
0	0.36	-1.001	2.305	0.691	2.239	0.809	2.412	3.567	2.306	3.642	TGGT1_294200-t26_1-p1	TGGT1_294200	1	34	15	14	TGGT1_294200-t26_1-p1	Toxoplasma_gondii_GT1	62963.5	31.2	645	645.1	243.64	233.74	TGGT1_294200	15	34	4.34E+09	31.20%
0	0.642	-0.635	2.819	2.527	2.695	2.186	2.783	3.895	2.722	3.998	TGGT1_278830-t26_1-p1	TGGT1_278830	1	5	5	4	TGGT1_278830-t26_1-p1	Toxoplasma_gondii_GT1	98896	5	645	645.2	55.79	45.89	TGGT1_278830	4	5	6.08E+08	3.90%
0	0.515	-0.452	2.715	2.517	2.753	2.628	2.797	4.199	2.657	4.241	P47755	P47755	1	28	14	9	P47755|F8W9N7|P47755-2|C9JUG7|A0A0D9SET8|F8WED3	HUMAN	33176.7	69.5	646	646.1	243.4	177.16	F-actin-capping protein subunit alpha-2	14	28	1.10E+10	69.50%
0	0.962	-0.376	3.241	3.284	3.333	3.364	3.424	5.305	3.318	5.33	P52907	P52907	1	13	13	8	P52907	HUMAN	33093.3	59.4	646	646.2	210.09	143.85	F-actin-capping protein subunit alpha-1	8	13	1.89E+09	43.30%
0	0.424	-0.961	2.763	2.776	2.853	3.001	2.904	4.72	2.922	4.692	P55265-4	P55265-4	1	23	16	16	P55265-4|P55265|P55265-5|P55265-2|P55265-3	HUMAN	142147.5	14.8	647	647.1	243.38	243.38	Isoform 4 of Double-stranded RNA-specific adenosine deaminase	16	23	1.28E+09	14.80%
0	0.746	-0.268	2.89	2.991	3.155	3.105	3.012	5.482	3.138	5.644	O43303	O43303	1	31	17	17	O43303|O43303-2|H3BVH3	HUMAN	114220.9	23.5	648	648.1	243.37	243.37	Centriolar coiled-coil protein of 110 kDa	17	31	1.88E+09	23.50%
0	0.481	-0.869	2.913	2.768	2.835	2.878	2.858	3.268	2.708	3.489	Q02878	Q02878	1	43	16	16	Q02878	HUMAN	32784.4	44.7	649	649.1	243.36	243.36	60S ribosomal protein L6	16	43	1.62E+10	44.70%
0	0.592	-0.528	2.874	2.648	3.109	3.017	3.069	3.937	2.96	4.036	P62280	P62280	1	66	17	15	P62280|M0QZC5|M0R1H6|M0R1H5	HUMAN	18601.6	62.6	650	650.1	243.18	216.52	40S ribosomal protein S11	17	66	7.37E+10	62.60%
0	0.518	-0.567	2.39	0.405	2.555	0.687	2.49	3.726	2.54	3.689	TGGT1_226970-t26_1-p1	TGGT1_226970	1	18	10	8	TGGT1_226970-t26_1-p1	Toxoplasma_gondii_GT1	18904.8	50.9	650	650.2	124.72	98.06	TGGT1_226970	8	18	3.98E+09	44.00%
0	1.018	-0.723	3.229	3.265	3.357	3.711	3.318	4.981	3.319	4.95	A0A0A0MRA8	A0A0A0MRA8	1	24	17	16	A0A0A0MRA8|Q9Y2J2-2|A8K968|Q9Y2J2-4|Q9Y2J2|A0A0A0MSA4|Q9Y2J2-3|A0A1B0GTF8	HUMAN	102742.5	25.7	651	651.1	243.09	225.11	Band 4.1-like protein 3	17	24	4.44E+09	25.70%
0	0.353	-0.237	2.767	2.662	2.832	2.91	2.812	4.246	2.752	4.366	P11171	P11171	1	2	3	2	P11171|P11171-2|P11171-3|Q4VB86|P11171-4|P11171-5|P11171-6|P11171-7	HUMAN	97585.6	4.5	651	651.2	30.25	12.27	Protein 4.1	2	2	2.03E+08	3.30%
0	0.114	-0.653	3.637	1.844	3.764	2.018	3.846	3.34	3.699	3.652	TGGT1_311470-t26_1-p1	TGGT1_311470	1	24	17	17	TGGT1_311470-t26_1-p1	Toxoplasma_gondii_GT1	187935.4	14.5	652	652.1	242.7	242.7	TGGT1_311470	17	24	7.19E+08	14.50%
0	0.939	-0.832	3.206	3.147	3.279	3.281	3.387	4.556	3.26	4.692	Q96P70	Q96P70	1	27	14	14	Q96P70	HUMAN	116930.7	19.3	653	653.1	241.97	241.97	Importin-9	14	27	9.87E+08	19.30%
0	0.418	-0.767	3.646	3.706	3.821	3.94	3.971	3.952	3.838	4.038	Q16832	Q16832	1	27	16	16	Q16832	HUMAN	97647.4	23.2	654	654.1	241.7	241.7	Discoidin domain-containing receptor 2	16	27	1.68E+09	23.20%
0	0.461	-0.697	2.819	2.763	2.951	2.978	3.029	4.073	2.946	4.2	Q00325-2	Q00325-2	1	41	16	16	Q00325-2|F8VVM2|Q00325|F8VWQ0	HUMAN	40414.4	52.6	655	655.1	241.45	241.45	Isoform B of Phosphate carrier protein mitochondrial	16	41	1.25E+10	52.60%
0	0.012	-0.55	4.547	3.23	4.762	3.343	4.898	4.113	4.807	4.201	Q8NHP6	Q8NHP6	1	37	17	17	Q8NHP6|R4GMN1|Q8NHP6-2	HUMAN	60087.4	32.2	656	656.1	241.31	241.31	Motile sperm domain-containing protein 2	17	37	2.29E+09	32.20%
0	1.029	-0.428	2.721	2.708	2.57	2.891	2.775	3.653	2.546	3.603	P00338	P00338	1	32	15	14	P00338|P00338-3|P00338-2|P00338-5|P00338-4|F5H6W8|F5H5J4|F5GXU1|F5GXC7|F5GWW2|F5H8H6|Q9BYZ2|Q6ZMR3|P07864|F5H245|G3XAP5|A0A087WUM2|F5H155|F5H5G7	HUMAN	36973.3	50.3	657	657.1	240.27	220.38	L-lactate dehydrogenase A chain	15	32	2.83E+10	50.30%
0	0.742	-0.835	2.549	2.318	2.323	2.564	2.674	3.308	2.411	3.367	P07195	P07195	1	3	4	3	P07195	HUMAN	36923.1	13.1	657	657.2	56.8	36.91	L-lactate dehydrogenase B chain	3	3	1.85E+08	9.50%
0	0.22	-0.853	2.448	2.284	2.637	2.576	2.584	3.435	2.508	3.559	E7ESZ7	E7ESZ7	1	37	16	16	E7ESZ7|A0A087WXC5|O95299|O95299-2|Q8N1B9	HUMAN	45079.7	34.8	658	658.1	239.73	239.73	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10 mitochondrial	16	37	4.72E+09	34.80%
0	0.314	-0.271	2.899	2.748	2.916	2.928	3.008	3.72	2.84	3.748	P23528	P23528	1	55	13	10	P23528|E9PK25|G3V1A4	HUMAN	18730.4	75.3	659	659.1	239.68	169.25	Cofilin-1	13	55	1.58E+10	75.30%
0	0.77	-0.166	3.061	3.143	3.145	3.33	3.086	4.33	3.157	4.355	Q9Y281	Q9Y281	1	3	5	2	Q9Y281|Q9Y281-3	HUMAN	18850.4	39.1	659	659.2	100	29.57	Cofilin-2	2	3	94800000	20.40%
0	0.146	-1.102	2.78	2.67	2.928	2.756	2.808	3.951	2.792	3.973	O75643	O75643	1	21	16	16	O75643|O75643-2|B4E0P5	HUMAN	246157.8	10.2	660	660.1	239.56	239.56	U5 small nuclear ribonucleoprotein 200 kDa helicase	16	21	1.22E+09	10.20%
0	0.155	-1.004	4.13	4.05	4.236	4.179	4.285	4.186	4.21	4.355	Q9BTX1	Q9BTX1	1	42	14	14	Q9BTX1|Q9BTX1-2|Q9BTX1-5|Q9BTX1-6|Q9BTX1-4|Q9BTX1-3	HUMAN	76988	25.9	661	661.1	239.25	239.25	Nucleoporin NDC1	14	42	2.42E+09	25.90%
0	0.251	-0.691	3.574	3.633	3.534	3.773	3.758	3.478	3.713	3.583	O00291	O00291	1	24	18	17	O00291|O00291-4|O00291-3	HUMAN	117303.1	21.4	662	662.1	238.93	228.27	Huntingtin-interacting protein 1	18	24	1.79E+10	21.40%
0.233	0	-0.744	3.9	4.177	3.848	4.268	4.144	3.256	3.858	3.656	O75146	O75146	1	8	8	7	O75146|O75146-2	HUMAN	120070.8	8.6	662	662.2	102.59	91.93	Huntingtin-interacting protein 1-related protein	7	8	2.46E+08	7.60%
0	0.762	-0.497	3.137	2.872	3.046	3.04	3.158	4.683	3.126	4.744	Q96T76-8	Q96T76-8	1	20	13	13	Q96T76-8|Q96T76|Q96T76-9|Q96T76-5|Q96T76-7	HUMAN	117414.9	18.9	663	663.1	238.06	238.06	Isoform 5 of MMS19 nucleotide excision repair protein homolog	13	20	8.60E+08	18.90%
0	0.611	-1.063	3.342	3.001	3.318	3.033	3.509	4.898	3.317	4.878	Q8NI36	Q8NI36	1	22	14	14	Q8NI36|A0A0A0MTB8	HUMAN	106347.2	18.8	664	664.1	237.95	237.95	WD repeat-containing protein 36	14	22	1.64E+09	18.80%
0	0.54	-0.867	3.03	3.339	3.157	3.223	3.223	5.493	3.281	5.609	Q8NEY1	Q8NEY1	1	20	16	15	Q8NEY1|Q8NEY1-3|Q8NEY1-2|A0A0A0MRJ3|Q8NEY1-4|Q8NEY1-7|Q8NEY1-6|Q8NEY1-5	HUMAN	203209.9	12.3	665	665.1	237.67	221.36	Neuron navigator 1	16	20	1.71E+09	12.30%
0	0.624	-0.042	2.501	2.653	2.51	2.835	2.709	4.585	2.396	4.685	Q8IVL0	Q8IVL0	1	13	7	6	Q8IVL0|Q8IVL0-2|Q8IVL0-3|A0A0A0MTE8|Q8IVL1|A0A0A0MTL4|Q8IVL1-11|Q8IVL1-2|Q8IVL1-12|Q8IVL1-3|Q8IVL1-13|Q8IVL1-10|Q8IVL1-9|Q8IVL1-8|Q8IVL1-4|Q8IVL1-5|Q8IVL1-6|Q8IVL1-7	HUMAN	257126.9	4.1	665	665.2	116.28	99.97	Neuron navigator 3	6	13	2.11E+08	3.70%
0	1.035	-0.91	3.788	3.924	3.817	3.848	3.868	5.998	3.836	6.027	Q96A19	Q96A19	1	23	17	17	Q96A19	HUMAN	62823.1	32.1	666	666.1	237.23	237.23	Coiled-coil domain-containing protein 102A	17	23	3.19E+09	32.10%
0	1.109	-1.011	2.785	2.475	2.645	2.864	2.563	4.672	2.747	4.872	P18206	P18206	1	21	17	17	P18206|P18206-2|P18206-3|A0A096LPE1	HUMAN	124367.7	18.8	667	667.1	237.2	237.2	Vinculin	17	21	5.21E+09	18.80%
0	0.888	-0.412	3.513	3.475	3.688	3.595	3.696	5.448	3.674	5.52	Q9H1H9	Q9H1H9	1	31	15	15	Q9H1H9|Q9H1H9-2|Q9H1H9-4|Q9H1H9-3|A0A1B0GUA8|Q9NQT8|E7ERX9|Q9P2P6|Q9P2P6-3	HUMAN	203959.4	9.9	668	668.1	237.05	224.24	Kinesin-like protein KIF13A	16	31	9.65E+08	9.90%
0	0.469	-0.603	3.687	3.626	3.786	3.709	3.917	4.853	3.893	5.03	Q96L93-2	Q96L93-2	1	19	13	12	Q96L93-2|Q96L93|Q96L93-4|Q96L93-6|A0A1B0GTU3|Q96L93-5	HUMAN	160684.4	13.1	668	668.2	207.23	187.6	Isoform 2 of Kinesin-like protein KIF16B	12	19	5.87E+08	12.50%
0	0.767	0	3.291	3.34	3.865	3.929	3.445	4.937	3.604	5.138	O43896	O43896	1	7	9	5	O43896	HUMAN	123800.2	9.1	668	668.3	108.24	47.96	Kinesin-like protein KIF1C	5	7	1.74E+08	5.80%
0	0.507	-0.395	2.897	2.697	3.013	2.726	2.906	3.664	2.916	3.781	O60333-3	O60333-3	1	8	8	5	O60333-3|O60333-4|O60333|Q4R9M9|A0A087WWA3|O60333-2|Q12756-2|Q12756-3|Q12756	HUMAN	131388.1	8.2	668	668.4	95.06	54.41	Isoform 3 of Kinesin-like protein KIF1B	5	8	4.33E+08	5.80%
0	0.942	-0.485	3.257	3.189	3.276	3.503	3.326	5.204	3.392	5.33	O14641	O14641	1	29	15	11	O14641|I3L2N2	HUMAN	79231.8	27.1	669	669.1	237	171.09	Segment polarity protein dishevelled homolog DVL-2	15	29	2.36E+09	27.10%
0	0.576	-0.54	2.881	3.052	2.914	3.16	3.072	4.505	3.038	4.759	Q92997	Q92997	1	18	14	10	Q92997|Q92997-2|F8WCF1	HUMAN	78395.8	22.7	669	669.2	191.69	127.74	Segment polarity protein dishevelled homolog DVL-3	10	18	1.41E+09	16.30%
0.486		-0.867	3.115	2.868	2.943	3.038	3.189	4.32	2.95	4.182	O14640	O14640	1	1	4	1	O14640|P54792|O14640-2|P54792-2|A0A087WWA7	HUMAN	75584.8	5.8	669	669.3	50.08	14.58	Segment polarity protein dishevelled homolog DVL-1	1	1	5150000	2.10%
0	0.271	-1.159	2.789	2.793	2.918	2.915	2.951	3.991	2.84	4.037	Q9Y3I0	Q9Y3I0	1	25	14	14	Q9Y3I0	HUMAN	55722.8	41.1	670	670.1	236.65	236.65	tRNA-splicing ligase RtcB homolog	14	25	7.23E+09	41.10%
0	0.589	-1.203	2.635	2.337	2.543	2.563	2.559	4.303	2.38	4.287	A0A087WTT1	A0A087WTT1	1	28	17	12	A0A087WTT1|P11940|P11940-2|E7EQV3|E7ERJ7|Q9H361|Q4VXU2|Q4VXU2-2|Q96DU9|Q96DU9-2|Q5JQF8	HUMAN	58763.2	31.9	671	671.1	236.64	134.53	Polyadenylate-binding protein	18	28	2.74E+09	31.90%
0	0.521	-1.698	2.57	2.58	2.788	2.893	2.617	4.472	2.444	4.478	Q13310-3	Q13310-3	1	10	12	7	Q13310-3|Q13310|Q13310-2|B1ANR0	HUMAN	72731.7	22.4	671	671.2	212.67	110.23	Isoform 3 of Polyadenylate-binding protein 4	7	10	4.30E+08	14.00%
0	1.02	-0.248	2.888	2.978	3.229	3.129	3.11	5.36	3.102	5.497	Q9H4A3-7	Q9H4A3-7	1	30	17	17	Q9H4A3-7|Q9H4A3-6|Q9H4A3-5|Q9H4A3|Q9H4A3-2|F5GWT4|Q9H4A3-4|F6UYG0|Q9Y3S1|Q9Y3S1-4|Q9Y3S1-2|F8W9F9|Q9BYP7|A0A087WYK2|Q9BYP7-2|Q9BYP7-4|Q9BYP7-3|Q96J92|Q96J92-3|Q9Y3S1-3|K7ENT7|Q96J92-2	HUMAN	301202.7	8.6	672	672.1	235.95	235.95	Isoform 6 of Serine/threonine-protein kinase WNK1	17	30	3.12E+09	8.60%
0	0.299	-1.259	2.431	2.574	2.487	2.748	2.641	3.673	2.519	3.764	A0A0A0MTH3	A0A0A0MTH3	1	39	17	17	A0A0A0MTH3|Q13418|Q13418-2|Q13418-3|A0A087WW45|E9PQ52	HUMAN	55295.7	34.3	673	673.1	235.78	235.78	Integrin-linked protein kinase	17	39	4.47E+09	34.30%
0	0.244	-1.039	3.347	3.409	3.37	3.602	3.507	4.311	3.518	4.58	P46063	P46063	1	22	15	15	P46063	HUMAN	74483	29.1	674	674.1	235.43	235.43	ATP-dependent DNA helicase Q1	15	22	1.79E+09	29.10%
0	1.206	-0.403	2.916	2.912	3.049	3.104	3.065	5.316	3.013	5.419	Q69YQ0	Q69YQ0	1	25	17	17	Q69YQ0|Q69YQ0-2|F8WAN1	HUMAN	124999.2	19.5	675	675.1	234.63	234.63	Cytospin-A	17	25	1.11E+09	19.50%
0	0.379	-0.344	3.085	2.826	3.077	3.144	3.201	5.041	3.18	5.23	Q8IWI9-4	Q8IWI9-4	1	28	19	19	Q8IWI9-4|Q8IWI9|Q8IWI9-3|Q8IWI9-2	HUMAN	338321.5	8.6	676	676.1	234.02	234.02	Isoform 4 of MAX gene-associated protein	19	28	2.17E+09	8.60%
0	0.885	-0.793	2.503	0.038	2.415	0.229	2.5	3.395	2.377	3.402	TGGT1_261570-t26_1-p1	TGGT1_261570	1	35	15	15	TGGT1_261570-t26_1-p1	Toxoplasma_gondii_GT1	31316.5	44.5	677	677.1	234	234	TGGT1_261570	15	35	5.41E+09	44.50%
0	1.532	-0.702	2.953	2.995	2.856	2.994	3.341	6.303	3.026	6.377	P20810-6	P20810-6	1	25	14	14	P20810-6|P20810-7|P20810-10|P20810-5|A0A0C4DGB5|P20810-9|P20810|P20810-2|B7Z574|E7EVY3|P20810-8|E9PCH5|P20810-4|P20810-3|E9PDE4|E7EQ12|E7EQA0|A0A0A0MR45|A0A0C4DGD1	HUMAN	85340.8	25.2	678	678.1	233.98	233.98	Isoform 6 of Calpastatin	14	25	2.12E+09	25.20%
0	0.497	-0.51	3.461	3.477	3.496	3.496	3.509	4.203	3.412	4.363	P49757	P49757	1	35	17	12	P49757|P49757-3|P49757-2|P49757-4|P49757-5|P49757-6|P49757-7|P49757-8|G3V3Z8|P49757-9	HUMAN	71487.2	22.4	679	679.1	233.32	172.42	Protein numb homolog	17	35	4.23E+09	22.40%
0	0.763	-0.545	3.889	3.921	3.984	3.944	3.922	5.197	3.951	5.163	Q9Y6R0	Q9Y6R0	1	12	13	8	Q9Y6R0|A0A0C4DGH3	HUMAN	65632	20.1	679	679.2	163.32	102.42	Numb-like protein	8	12	5.03E+08	14.40%
