"20191014_Toxoplasma_TMT_FullExperiment, 126C, ctrl.turbo.rah.nobiotin"	"20191014_Toxoplasma_TMT_FullExperiment, 127N, ctrl.turbo.cyto.nobiotin"	"20191014_Toxoplasma_TMT_FullExperiment, 127C, ctrl.noturbo.nobiotin"	"20191014_Toxoplasma_TMT_FullExperiment, 128N, turborah.toxo.r1"	"20191014_Toxoplasma_TMT_FullExperiment, 128C, turborah.mock.r1"	"20191014_Toxoplasma_TMT_FullExperiment, 129N, turborah.toxo.r2"	"20191014_Toxoplasma_TMT_FullExperiment, 129C, turborah.mock.r2"	"20191014_Toxoplasma_TMT_FullExperiment, 130N, turborah.toxo.r3"	"20191014_Toxoplasma_TMT_FullExperiment, 130C, turbocyto.toxo.r1"	"20191014_Toxoplasma_TMT_FullExperiment, 131N, turborah.toxo.r4"	"20191014_Toxoplasma_TMT_FullExperiment, 131C, turbocyto.toxo.r2"	"20191014_Toxoplasma_TMT_FullExperiment, 126C.127C.127N, control.mean"	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191014_Toxoplasma_TMT_FullExperiment unique_peptides	20191014_Toxoplasma_TMT_FullExperiment numSpectra	20191014_Toxoplasma_TMT_FullExperiment totalIntensity	20191014_Toxoplasma_TMT_FullExperiment pct_cov
1759532	2949079	760920	6968678	6898626	6418362	8883395	6613256	24254441	5812765	24388553	1759715	P26641	P26641	1	21	12	12	P26641|P26641-2	HUMAN	50460.2	27.9	996	996.1	155.4	155.4	Elongation factor 1-gamma	12	21	2.55E+09	27.90%
641207	533506	238442	18982071	20339065	16482428	21314638	21653749	19041760	18609345	20528601	455540	Q14439	Q14439	1	23	10	10	Q14439|Q14439-3|Q14439-2	HUMAN	57682	21.5	997	997.1	155.36	155.36	G-protein coupled receptor 176	10	23	5.54E+09	21.50%
6678825	7662854	3466289	31050297	28222255	32267044	31478595	33571880	67826221	30261727	70219857	6438945	P62249	P62249	1	41	10	10	P62249|M0R210|M0R3H0|Q6IPX4	HUMAN	16559.1	55.4	998	998.1	155.27	155.27	40S ribosomal protein S16	10	41	9.67E+09	55.40%
200656	329287	74147	2123243	3613397	2656461	2604023	2490358	4159842	2341607	4736884	186563	Q9P253	Q9P253	1	19	12	12	Q9P253|H0YLM6|H0YMC9	HUMAN	111552.9	14.4	999	999.1	155.22	155.22	Vacuolar protein sorting-associated protein 18 homolog	12	19	1.11E+09	14.40%
652947	1077371	431872	4045369	3709569	4317963	3968128	4563543	12762938	4400176	13298397	630099	Q9BZQ8	Q9BZQ8	1	14	10	10	Q9BZQ8	HUMAN	104102.7	13.6	1000	1000.1	155.05	155.05	Protein Niban	10	14	5.39E+08	13.60%
1465473	2034449	913658	7629025	3174650	7949436	3340916	8051163	19416909	7528569	20205363	1454678	TGGT1_270510-t26_1-p1	TGGT1_270510	1	19	12	12	TGGT1_270510-t26_1-p1	Toxoplasma_gondii_GT1	75887.5	19.3	1001	1001.1	155.04	155.04	TGGT1_270510	12	19	7.65E+08	19.30%
2325503	3544496	1908632	12979675	10212338	10895269	11618213	12866842	30621609	12510167	31823693	2341468	O95433	O95433	1	20	11	11	O95433|O95433-2	HUMAN	38444.8	28.1	1002	1002.1	154.98	154.98	Activator of 90 kDa heat shock protein ATPase homolog 1	11	20	2.45E+09	28.10%
896030	576894	240689	6871595	8196514	6630200	8701737	7434489	6642824	5722138	7244172	467735	Q8NBQ5	Q8NBQ5	1	22	10	10	Q8NBQ5|D6RCD0	HUMAN	33277.5	35.3	1003	1003.1	154.47	154.47	Estradiol 17-beta-dehydrogenase 11	10	22	1.65E+09	35.30%
611971	705522	273113	5319559	5535973	5718848	5899826	6032957	12272704	5646235	13235829	568718	O43615	O43615	1	21	10	10	O43615|M0R124	HUMAN	51697.1	26.7	1004	1004.1	154.45	154.45	Mitochondrial import inner membrane translocase subunit TIM44	10	21	1.20E+09	26.70%
218531	369745	155527	1709654	1808169	1951954	2283791	1928211	4004142	2019333	4355274	229143	A0A087WYN9	A0A087WYN9	1	13	12	11	A0A087WYN9|Q7Z478	HUMAN	156372.9	11.3	1005	1005.1	154.43	141.03	ATP-dependent RNA helicase DHX29	12	13	2.48E+08	11.30%
152789	197168	90655	1569043	1431305	1538964	1439511	1561083	3552983	1540105	3648607	150351	Q6P158	Q6P158	1	10	8	7	Q6P158|Q6P158-2|A0A087WZ11|Q6P158-3	HUMAN	157199	7.1	1005	1005.2	108.3	94.9	Putative ATP-dependent RNA helicase DHX57	7	10	2.04E+08	6.30%
933744	611495	428480	15005627	16551288	15712402	19532203	17345503	10090361	17279365	11374901	544850	O95208	O95208	1	26	9	8	O95208|O95208-2|I3L2B2|E9PBC1|O95208-3|O95208-5|I3L2H1	HUMAN	68708.6	17	1006	1006.1	154.23	132.8	Epsin-2	9	26	2.26E+09	17.00%
31591	44473	8571	380092	430216	400502	480282	452520	540871	402959	744050	31591	Q9H201	Q9H201	1	1	2	1	Q9H201|I6L9I8|Q9H201-2	HUMAN	68392.2	3.4	1006	1006.2	40.09	18.66	Epsin-3	1	1	66500000	1.80%
332907	698609	218373	5293916	5709675	6021079	6230669	6407441	16679006	6004337	18666072	361561	J3KNQ4	J3KNQ4	1	15	9	9	J3KNQ4|Q9NVD7|Q9NVD7-2	HUMAN	46646.1	29.3	1007	1007.1	153.8	153.8	Alpha-parvin	9	15	1.62E+09	29.30%
834098	1076268	299714	4869314	5207971	4814785	6063321	5321543	10077250	5090253	10708910	838859	P05388	P05388	1	23	10	10	P05388|F8VWS0|P05388-2|G3V210|Q8NHW5|F8VRK7|F8VQY6|F8W1K8	HUMAN	34444.1	42.9	1008	1008.1	153.77	153.77	60S acidic ribosomal protein P0	10	23	1.18E+09	42.90%
3026880	2737178	1550972	7854360	6955921	8027197	8097007	7377912	8869942	6905486	9658819	2620863	P11177	P11177	1	21	10	10	P11177|P11177-2|P11177-3|C9J634|F8WF02	HUMAN	39575	28.6	1009	1009.1	153.27	153.27	Pyruvate dehydrogenase E1 component subunit beta mitochondrial	10	21	1.08E+09	28.60%
64291	119404	40768	1360451	1064101	1366830	1085422	1457946	4885262	1503975	5091352	60350	Q13191	Q13191	1	13	10	8	Q13191|Q13191-2|Q13191-3|Q68CY2	HUMAN	110931.2	16.9	1010	1010.1	153.16	135.76	E3 ubiquitin-protein ligase CBL-B	10	13	7.03E+08	16.90%
26291	45285	26729	282333	280555	340191	274884	297508	1286026	303257	1291379	29613	P22681	P22681	1	2	4	2	P22681|A0A0U1RQX8|A0A0U1RR39	HUMAN	100943.3	5.6	1010	1010.2	34.89	17.49	E3 ubiquitin-protein ligase CBL	2	2	85300000	2.70%
933735	1407398	284760	9530483	9925607	10520471	11385459	11483676	28400593	10681014	29731680	773992	Q8TD55	Q8TD55	1	20	10	10	Q8TD55|Q8TD55-2	HUMAN	53691.3	25.7	1011	1011.1	153.13	153.13	Pleckstrin homology domain-containing family O member 2	10	20	9.18E+09	25.70%
1020223	1460852	635454	4377859	4405589	4514292	4539534	4668942	15525201	4442504	16617343	963275	P52630	P52630	1	22	12	12	P52630|P52630-4|B4DLC8	HUMAN	98656.1	14.6	1012	1012.1	153.12	153.12	Signal transducer and activator of transcription 2	12	22	7.33E+08	14.60%
797262	902056	465775	13544656	13215796	12866114	15232637	14504577	8576065	14280798	9298456	724748	Q9NZ43	Q9NZ43	1	24	10	10	Q9NZ43|G8JLK1|Q9NZ43-2|Q9NZ43-3|M0QZE0	HUMAN	29484.7	33.9	1013	1013.1	152.83	152.83	Vesicle transport protein USE1	10	24	1.94E+09	33.90%
279551	437627	170580	4087357	3709344	4276015	3879938	4369663	6636007	4191191	6678064	275460	P46934-4	P46934-4	1	14	10	5	P46934-4|P46934|P46934-2|P46934-3|K7EKL1	HUMAN	104500.4	12.5	1014	1014.1	152.78	83.86	Isoform 4 of E3 ubiquitin-protein ligase NEDD4	10	14	6.80E+08	12.50%
4869	4676	2127	7009	9484	11459	14015	9988	12917	8859	17678	4676	Q96PU5	Q96PU5	1	2	7	2	Q96PU5|Q96PU5-7|Q96PU5-5|Q96PU5-6|Q96PU5-2|Q96PU5-3|A0A1B0GVY1|Q96PU5-4|Q96PU5-9	HUMAN	112272	6.6	1014	1014.2	84.63	15.71	E3 ubiquitin-protein ligase NEDD4-like	2	2	69600000	1.70%
2473691	3225969	1760532	11738338	2899379	11291552	3184131	12953525	29239821	12625945	29431886	2466443	TGGT1_263300-t26_1-p1	TGGT1_263300	1	18	9	9	TGGT1_263300-t26_1-p1	Toxoplasma_gondii_GT1	31636.6	38.9	1015	1015.1	152.75	152.75	TGGT1_263300	9	18	2.85E+09	38.90%
2093388	1267131	478650	42143632	39669772	41118948	55552293	46648888	15962277	42728475	19960855	1242209	Q9GZU8	Q9GZU8	1	19	11	11	Q9GZU8|H3BU93|Q6P4H7	HUMAN	29139.9	36.2	1016	1016.1	152.36	152.36	Protein FAM192A	11	19	8.35E+09	36.20%
3063860	7485259	1918013	23010247	6071033	18798834	6260550	19852974	32684531	18955555	35938047	3072925	TGGT1_210690-t26_1-p1	TGGT1_210690	1	24	10	10	TGGT1_210690-t26_1-p1	Toxoplasma_gondii_GT1	29012.8	34.7	1017	1017.1	152.34	152.34	TGGT1_210690	10	24	3.41E+09	34.70%
326338	514137	193500	1838503	2112892	2059766	2272592	2009114	8876337	2012968	10086508	327519	Q5T1Z8	Q5T1Z8	1	21	10	10	Q5T1Z8|Q5T1Z4|Q14671-3|Q14671-2|Q14671|Q14671-4|E9PR38|Q8TB72|Q8TB72-3|Q8TB72-4|Q8TB72-2|A0A0A0MR59|E9PMX1|E9PM68	HUMAN	130847.9	10.2	1018	1018.1	152.2	152.2	Pumilio homolog 1	10	21	4.89E+08	10.20%
1024680	1263401	411914	12453101	12777690	13229324	14454493	13550020	24634252	13794588	24764564	1005865	P48729	P48729	1	24	10	10	P48729|P48729-3|P48729-2|D6REM4|Q8N752|E7ETM0|D6RGE5|E5RG27|U3KPX3|U3KQ83|TGGT1_240640-t26_1-p1	HUMAN	39142.4	30.8	1019	1019.1	152.13	152.13	Casein kinase I isoform alpha	10	24	1.28E+09	30.80%
653167	803008	296509	11741031	10351689	13790044	13921639	14020199	10774679	12679228	13044075	591359	Q96S66	Q96S66	1	22	11	11	Q96S66|Q96S66-2|Q96S66-3|Q96S66-4|Q5T1P5	HUMAN	62706.1	25.5	1020	1020.1	151.88	151.88	Chloride channel CLIC-like protein 1	11	22	1.56E+09	25.50%
2074026	1580149	764598	7428496	6124806	7010272	7235916	6582829	9352160	6725008	10074504	1551472	Q6YN16	Q6YN16	1	16	9	9	Q6YN16|Q6YN16-2	HUMAN	45679.2	28.2	1021	1021.1	151.57	151.57	Hydroxysteroid dehydrogenase-like protein 2	9	16	1.65E+09	28.20%
273483	480068	140451	3259148	2940100	3630056	3395624	3704451	8619998	3629741	9546616	270156	Q8TEQ0	Q8TEQ0	1	13	10	10	Q8TEQ0|Q8TEQ0-2|H3BT98|Q8IUI4	HUMAN	91651.5	14.8	1022	1022.1	151.52	151.52	Sorting nexin-29	10	13	5.92E+08	14.80%
893610	956608	462273	12470030	3141453	11920803	3276272	14737267	10274622	10567961	11396126	794054	TGGT1_306030-t26_1-p1	TGGT1_306030	1	21	10	10	TGGT1_306030-t26_1-p1	Toxoplasma_gondii_GT1	38401	36.3	1023	1023.1	151.5	151.5	TGGT1_306030	10	21	1.62E+09	36.30%
493142	595560	322792	5958682	5239461	6036483	5832640	6366150	7526383	5975578	8528220	469190	Q9BZF1	Q9BZF1	1	19	10	10	Q9BZF1|Q9BZF1-2|Q9BZF1-3	HUMAN	101821.3	13	1024	1024.1	151.46	151.46	Oxysterol-binding protein-related protein 8	10	19	1.63E+09	13.00%
485432	601501	252783	6467136	2152054	5719127	2307145	6601284	7494579	6392376	7732900	473693	TGGT1_300100-t26_1-p1	TGGT1_300100	1	19	13	13	TGGT1_300100-t26_1-p1	Toxoplasma_gondii_GT1	167184.5	10.6	1025	1025.1	151.36	151.36	TGGT1_300100	13	19	2.50E+09	10.60%
100456	173152	35600	1780053	1309035	1870133	1303759	2124730	3741743	1916131	3708940	97985	P42336	P42336	1	12	11	11	P42336	HUMAN	126107.6	12.4	1026	1026.1	151.17	151.17	Phosphatidylinositol 45-bisphosphate 3-kinase catalytic subunit alpha isoform	11	12	4.53E+08	12.40%
2668015	2165874	866337	11482809	10424496	11926722	11785877	12656664	19268596	12220356	20792231	2019775	P46782	P46782	1	20	10	8	P46782|M0R0R2|M0QZN2	HUMAN	23047.2	45	1027	1027.1	151.12	128.87	40S ribosomal protein S5	10	20	2.93E+09	45.00%
256040	376465	148731	1797212	595803	1941230	604023	1888636	3947073	1882101	3969913	249032	TGGT1_242330-t26_1-p1	TGGT1_242330	1	8	7	5	TGGT1_242330-t26_1-p1	Toxoplasma_gondii_GT1	21898	46.8	1027	1027.2	106.16	83.91	TGGT1_242330	5	8	5.32E+08	41.60%
2009078	2563795	959767	16179466	15253421	16604930	16922365	17703588	30424730	16281169	31017767	2032552	P25398	P25398	1	21	9	9	P25398	HUMAN	14914.1	77.2	1028	1028.1	151.08	151.08	40S ribosomal protein S12	9	21	4.46E+09	77.20%
199191	267020	115313	4657799	4071277	4864324	4419678	5385661	4251240	4947160	4905637	211580	P32019	P32019	1	16	12	12	P32019|P32019-2|P32019-4|E7ESY0|P32019-3|B1ARF3	HUMAN	114105.3	14.4	1029	1029.1	150.88	150.88	Type II inositol 145-trisphosphate 5-phosphatase	12	16	4.27E+08	14.40%
256678	348732	116279	2487681	2108144	2521301	2444276	2661589	3612299	2700268	3896016	261031	Q9HD20	Q9HD20	1	10	10	10	Q9HD20|Q9HD20-2|Q9HD20-3	HUMAN	134607	12.4	1030	1030.1	150.76	150.76	Manganese-transporting ATPase 13A1	10	10	4.26E+08	12.40%
657280	681677	436992	3386637	3916390	3854270	3819963	4013032	7027878	3398671	6792096	592555	Q96QK1	Q96QK1	1	12	9	9	Q96QK1|I3L4P4|A0A1W2PP10|I3L4S0	HUMAN	92504.1	16	1031	1031.1	150.73	150.73	Vacuolar protein sorting-associated protein 35	9	12	3.95E+08	16.00%
520425	717171	266283	3700943	3618964	3831210	4199775	4306702	6732706	4009663	7009973	520422	Q8IXB1	Q8IXB1	1	18	13	13	Q8IXB1|Q8IXB1-2|Q8IXB1-3|E7EP04|A0A087WXH7|Q71S60	HUMAN	92390.2	18.9	1032	1032.1	150.66	150.66	DnaJ homolog subfamily C member 10	13	18	8.04E+08	18.90%
216992	431875	105943	1588416	1617283	1679579	1719480	1613387	7975762	1669806	8875433	215343	X6RLX0	X6RLX0	1	13	11	11	X6RLX0|Q8IUD2|G8JLD3|Q8IUD2-3|Q8IUD2-2|X6RM00|Q8IUD2-4|Q8IUD2-5|O15083	HUMAN	128700.8	11.3	1033	1033.1	150.6	150.6	ELKS/Rab6-interacting/CAST family member 1	11	13	4.11E+08	11.30%
258339	571510	182583	2500081	2379923	2998386	2826040	2902508	9265805	2811154	9524661	268191	Q9UHI6	Q9UHI6	1	18	11	11	Q9UHI6|E9PJ60|Q9UHI6-2	HUMAN	93037.6	18.2	1034	1034.1	150.56	150.56	Probable ATP-dependent RNA helicase DDX20	11	18	5.46E+08	18.20%
496168	727441	265142	4053595	3233644	4016896	3794987	4292235	10363321	4274542	11130522	490610	P52701	P52701	1	17	13	13	P52701|P52701-3|P52701-2|P52701-4|A0A087WWJ1|F8WAX8|F8W7G9	HUMAN	154608.6	12.5	1035	1035.1	150.22	150.22	DNA mismatch repair protein Msh6	13	17	1.15E+09	12.50%
304060	711388	147916	2118537	2188270	2134751	2353809	2466948	14688915	2369772	16115839	304238	A0A0G2JHC2	A0A0G2JHC2	1	15	10	10	A0A0G2JHC2|Q6NYC8|Q6NYC8-2|Q6NYC8-3|Q6NYC8-4	HUMAN	68325.8	24.1	1036	1036.1	150.2	150.2	PPP1R18	10	15	1.06E+09	24.10%
2017358	1876361	953290	4153255	3932243	4744794	5192159	4001551	6747179	3919246	7776591	1744031	P13804	P13804	1	16	9	9	P13804|P13804-2|H0YK49|Q2KJE4|F1MWR3|J3KN60	HUMAN	35421.3	36.9	1037	1037.1	150.06	150.06	Electron transfer flavoprotein subunit alpha mitochondrial	9	16	5.80E+08	36.90%
817083	718040	788536	4137833	4585083	4280470	4639735	4936888	6137687	4330174	6720543	778034	A0A140T913	A0A140T913	1	19	11	8	A0A140T913|P01892|A0A1W2PRT9|A0A1W2PPQ2|A0A140T955|P10316|P01891|P30453|P16189|P30459|P10314|P30512|B0UXQ0|A0A1W2PS39|A0A140T9Z6|Q9GJ45|A0A1W2PQS8|A0A140T975|A0A140T941|P30457|A0A0G2JPD3|A0A140T8Y4|P18462|P30450|P30456|A0A1W2PPF8|A0A1W2PR61|A0A140T8W8|Q95604|A0A1W2PRU9|Q09160|A0A140TA13|A0A140T9Z4|A0A1W2PQZ3|A0A1W2PQE2|A0A1W2PP29|A0A140TA19	HUMAN	41734	39.6	1038	1038.1	149.65	96.34	HLA class I histocompatibility antigen A-3 alpha chain	11	19	5.41E+08	39.60%
158798	116461	138047	553876	601945	635333	696292	627854	935664	546366	1042663	136401	P30462	P30462	1	5	8	3	P30462|P30460|P30480|P18463|P30475|P30466|A0A1W2PPR8|P01889|Q29718|Q29836|Q31610|P30486|P30479|P03989|A0A140TA21|P30485|Q04826|P30488|P30483|Q29865|P30499|A0A140TA05|A0A1W2PNR7|A0A140TA02|P13747|Q6DU44|A0A140T9Z7|F8W9Z8|A0A140TA12|A0A0G2JH66|A0A140T9B7|A0A140T9M0|A0A140T9U0|P04222|A0A140T9W2|D0EV57|A0A0G2JPA3|A0A0G2JPQ3|Q5RJ85|Q8MH48|P17693|P17693-5|A0A0G2JNX1|P17693-2|Q31611|A0A1W2PNZ7|P17693-6	HUMAN	40699.6	30.6	1038	1038.2	111.23	40.27	HLA class I histocompatibility antigen B-14 alpha chain	3	5	53400000	9.90%
3920	4481	2110	19233	13496	12066	17614	17828	22610	13745	17767	3920	Q29940	Q29940	1	1	7	1	Q29940|P30493|P30492|P30495|P30491|P30685|P30484|P30464|P10319|P18465|P30487|P30481|P30461|P30504|P30510|A0A140TA11|A0A140TA14	HUMAN	40868.9	27.6	1038	1038.3	93.96	4.44	HLA class I histocompatibility antigen B-59 alpha chain	1	1	2030000	3.00%
7601336	14295332	4938978	49866227	38637787	42864556	43178444	44057948	57259726	38271070	59256721	7599610	P26373	P26373	1	31	11	11	P26373|P26373-2|H3BTH3	HUMAN	24318.1	41.2	1039	1039.1	149.44	149.44	60S ribosomal protein L13	11	31	1.40E+10	41.20%
772699	1198572	318655	7844740	6616310	8171557	7602101	8618299	20234356	8400390	20813968	790624	Q13642-4	Q13642-4	1	22	9	9	Q13642-4|Q13642-5|Q13642-1|Q13642|Q5JXI2|Q13642-3	HUMAN	36936.6	30	1040	1040.1	149.3	149.3	Isoform 4 of Four and a half LIM domains protein 1	9	22	1.83E+09	30.00%
935071	1429290	563690	6519463	5864918	6184760	6279070	6353955	15347341	6140286	14971010	941623	O00148	O00148	1	20	10	5	O00148|O00148-2|O00148-3	HUMAN	49642.1	27.4	1041	1041.1	148.84	82.71	ATP-dependent RNA helicase DDX39A	10	20	3.16E+09	27.40%
128789	144092	89712	469238	514047	544143	530390	530825	1319775	560720	1361932	123375	Q13838-2	Q13838-2	1	6	10	5	Q13838-2|Q13838|Q5STU3	HUMAN	51134.9	24.8	1041	1041.2	124.73	58.6	Isoform 2 of Spliceosome RNA helicase DDX39B	5	6	3.58E+08	13.70%
674276	744629	280783	3254532	3430661	3827410	3656611	3762779	5701874	3710976	6300940	668231	Q9NVP1	Q9NVP1	1	16	9	9	Q9NVP1	HUMAN	75747.7	19.5	1042	1042.1	148.42	148.42	ATP-dependent RNA helicase DDX18	9	16	7.08E+08	19.50%
4470678	13235884	281163	24323354	25297756	21073784	29461204	34794484	74654627	21920549	58071158	4470678	O15145	O15145	1	23	10	10	O15145	HUMAN	20774.5	58.4	1043	1043.1	148.38	148.38	Actin-related protein 2/3 complex subunit 3	10	23	2.10E+10	58.40%
823524	1102986	495713	5698288	5341960	6513696	6370049	6452299	13769679	6500734	14895500	822574	Q9NVH1	Q9NVH1	1	15	10	10	Q9NVH1|Q9NVH1-3|Q9NVH1-2	HUMAN	63562.2	21.1	1044	1044.1	148.36	148.36	DnaJ homolog subfamily C member 11	10	15	7.04E+08	21.10%
842490	1153714	421261	5695206	5304549	5913875	6439935	5829394	8395193	5791922	8994204	842302	P30101	P30101	1	15	10	10	P30101|A5D7E8|P38657	HUMAN	57180.7	18.6	1045	1045.1	148.17	148.17	Protein disulfide-isomerase A3	10	15	7.73E+08	18.60%
6124121	2585088	4048237	5008427	6137447	7695574	8512159	4201798	9324313	4664731	10433706	4061472	F1MAV0	F1MAV0	1	16	12	12	F1MAV0|P02676|P02675|D6REL8	BOVIN	57181.5	27.8	1046	1046.1	147.97	147.97	Fibrinogen beta chain	12	16	1.22E+09	27.80%
337367	368421	184649	3974306	4663849	3361169	5006798	3953941	5244050	4051289	6030120	302921	Q96J84-2	Q96J84-2	1	15	9	9	Q96J84-2|Q96J84|Q96J84-3|B4DN67|Q5W0F9|Q5W0G0	HUMAN	85675.5	15.3	1047	1047.1	147.78	147.78	Isoform 2 of Kin of IRRE-like protein 1	9	15	8.92E+08	15.30%
148040	305122	118457	1869501	1834444	1857036	2060908	2186313	5928724	1915510	6015961	187164	Q9UJY4	Q9UJY4	1	12	9	9	Q9UJY4|H3BMM6|H3BMN6	HUMAN	67662.6	24.7	1048	1048.1	147.6	147.6	ADP-ribosylation factor-binding protein GGA2	9	12	1.26E+09	24.70%
287925	378919	126968	3429051	3262440	3534111	3801757	3506701	4938592	3456415	5551744	268048	Q9NXH8	Q9NXH8	1	14	11	11	Q9NXH8	HUMAN	47369.6	32.6	1049	1049.1	147.54	147.54	Torsin-4A	11	14	1.22E+09	32.60%
406271	561951	180699	3908127	4289842	4225928	4714941	4573525	5237156	4318274	5799968	421516	Q13308-6	Q13308-6	1	18	10	10	Q13308-6|Q13308|Q13308-2|Q13308-3|Q13308-4|Q13308-5|Q86X91|F8WDG7|C9J9E8	HUMAN	120678.6	11.5	1050	1050.1	147.13	147.13	Isoform 6 of Inactive tyrosine-protein kinase 7	10	18	7.56E+08	11.50%
274120	435006	133188	2293545	2000744	2307827	2405504	2250868	8848618	2293127	10364577	241497	P52732	P52732	1	14	11	11	P52732	HUMAN	120183.8	12.2	1051	1051.1	147.1	147.1	Kinesin-like protein KIF11	11	14	8.90E+08	12.20%
320674	496242	162323	2483021	2360717	2723661	2558766	2774201	7628324	2640643	8072263	317920	Q16401	Q16401	1	18	10	10	Q16401|Q16401-2|F2Z3J2	HUMAN	56594.1	23.8	1052	1052.1	146.72	146.72	26S proteasome non-ATPase regulatory subunit 5	10	18	4.20E+08	23.80%
212412	435726	163481	2203497	1983354	2317228	2366394	2375629	9165938	2321063	9333523	210181	Q99707	Q99707	1	18	10	10	Q99707|Q99707-2	HUMAN	141836.9	9.5	1053	1053.1	146.68	146.68	Methionine synthase	10	18	5.70E+08	9.50%
487400	463505	202247	6852307	7421215	7067858	6844350	8027966	4905167	7494919	5629046	411975	P61289-2	P61289-2	1	19	10	10	P61289-2|P61289|P61289-3|K9J957|K7ESG5|B3KQ25|A0A087WTV2|B7Z8D3	HUMAN	31057.2	36.3	1054	1054.1	146.29	146.29	Isoform 2 of Proteasome activator complex subunit 3	10	19	2.19E+09	36.30%
109923	191349	50666	1193574	1211383	1216636	1289795	1294913	4122450	1267931	4561076	107304	Q9UPT5	Q9UPT5	1	11	8	8	Q9UPT5|Q9UPT5-6|A0A0A0MSB8|Q9UPT5-1|Q9UPT5-5|Q9UPT5-2|B4DJ07	HUMAN	83779.8	15.1	1055	1055.1	145.77	145.77	Exocyst complex component 7	8	11	3.49E+09	15.10%
1109112	1176656	711404	5659590	5326958	6050140	6185874	5976805	8783604	5827389	9673025	1056471	P09622	P09622	1	13	8	8	P09622|P09622-3|E9PEX6|P09622-2|F2Z2E3|F8WDM5|A0A1W2PR83	HUMAN	54746.8	24.5	1056	1056.1	145.69	145.69	Dihydrolipoyl dehydrogenase mitochondrial	8	13	6.61E+08	24.50%
165577	191297	85801	1388352	1396836	1500311	1438510	1520718	2520718	1520978	2704947	152864	P33527-9	P33527-9	1	12	10	10	P33527-9|P33527|A0A0A0MS99|P33527-4|P33527-2|P33527-3|P33527-6|P33527-7|P33527-5|P33527-8	HUMAN	174063.4	10.4	1057	1057.1	145.32	145.32	Isoform 9 of Multidrug resistance-associated protein 1	10	12	4.08E+08	10.40%
759872	616796	233820	8563160	7104223	8184681	8140884	8975044	6184878	8601044	6526994	587148	P16435	P16435	1	13	11	11	P16435|E7EMD0	HUMAN	77144.8	19.9	1058	1058.1	145.25	145.25	NADPH--cytochrome P450 reductase	11	13	1.04E+09	19.90%
2432651	3108609	1820009	14611209	13049593	15645713	14386537	16799627	32830642	14577165	33124332	2479262	P62263	P62263	1	31	8	7	P62263|E5RH77	HUMAN	16443.6	41	1059	1059.1	145.23	128.96	40S ribosomal protein S14	8	31	1.91E+10	41.00%
688679	853998	393759	3269036	1539610	3226722	1405079	3367246	7199197	3218040	7651176	676107	TGGT1_263700-t26_1-p1	TGGT1_263700	1	14	7	6	TGGT1_263700-t26_1-p1	Toxoplasma_gondii_GT1	16358.3	50.6	1059	1059.2	110.93	94.66	TGGT1_263700	6	14	4.84E+09	50.60%
558076	479548	348257	2554159	2410121	2497475	2644434	2657506	12437301	2553152	13491067	432667	O60292	O60292	1	16	11	11	O60292	HUMAN	195918.6	8.4	1060	1060.1	144.6	144.6	Signal-induced proliferation-associated 1-like protein 3	11	16	8.91E+08	8.40%
1390839	1538165	540183	6106589	5634149	6380209	7888816	6459867	11110101	6096697	12504967	1351683	P63241	P63241	1	16	9	9	P63241|P63241-2|I3L504|Q6IS14|Q9GZV4|C9J7B5|F8WCJ1	HUMAN	17060.2	66.2	1061	1061.1	144.52	144.52	Eukaryotic translation initiation factor 5A-1	9	16	8.45E+08	66.20%
405682	674304	292776	2981301	2609525	2986873	2950869	3132894	15075625	3066775	13073451	405747	Q86TB9	Q86TB9	1	13	11	11	Q86TB9|Q86TB9-4|Q86TB9-2	HUMAN	87190.9	16.7	1062	1062.1	144.48	144.48	Protein PAT1 homolog 1	11	13	7.40E+08	16.70%
217393	253949	115582	1139905	1109351	1197603	1145081	1313314	4874555	1232889	5011541	197914	P48553	P48553	1	11	10	10	P48553|A0A096LPH7|P48553-2|F8WE24	HUMAN	143898	9.7	1063	1063.1	144.47	144.47	Trafficking protein particle complex subunit 10	10	11	5.25E+08	9.70%
416747	493772	238240	2432786	2188916	2572558	2347697	2761825	6264238	2700096	7371195	384447	P43246	P43246	1	16	8	8	P43246|E9PHA6|P43246-2	HUMAN	105482.9	10.1	1064	1064.1	144.42	144.42	DNA mismatch repair protein Msh2	8	16	3.95E+08	10.10%
187649	313333	103774	3160941	3056228	3297022	3138713	3555481	8266214	3506924	8580311	198414	Q99704	Q99704	1	16	8	8	Q99704|Q99704-3|Q99704-2	HUMAN	52847.3	27.8	1065	1065.1	144.3	144.3	Docking protein 1	8	16	3.98E+08	27.80%
1500389	1280996	242212	33244478	37278766	38496759	40795923	37313380	26060209	35704712	29599923	1189297	P82673	P82673	1	28	8	8	P82673|P82673-2	HUMAN	37128.9	38	1066	1066.1	144.23	144.23	28S ribosomal protein S35 mitochondrial	8	28	2.88E+09	38.00%
