20191004_Toxoplasma_PMV_TMT, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 128N:126C.127C.127N, turborah.toxo.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 128C:126C.127C.127N, turborah.mock.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 129N:126C.127C.127N, turborah.toxo.r2:control.mean	20191004_Toxoplasma_PMV_TMT, 129C:126C.127C.127N, turborah.mock.r2:control.mean	20191004_Toxoplasma_PMV_TMT, 130N:126C.127C.127N, turborah.toxo.r3:control.mean	20191004_Toxoplasma_PMV_TMT, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 131N:126C.127C.127N, turborah.toxo.r4:control.mean	20191004_Toxoplasma_PMV_TMT, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191004_Toxoplasma_PMV_TMT unique_peptides	20191004_Toxoplasma_PMV_TMT numSpectra	20191004_Toxoplasma_PMV_TMT totalIntensity	20191004_Toxoplasma_PMV_TMT pct_cov
0.119			2.134	2.487	1.736	2.173	1.733	2.995	1.913	2.983	P07195	P07195	1	1	3	1	P07195	HUMAN	36923.1	9.8	561	561.2	33.67	18.79	L-lactate dehydrogenase B chain	1	1	2910000	4.4%
0	0.172	-0.85	2.842	2.784	2.898	2.885	2.888	3.33	2.669	3.489	P07237	P07237	1	11	11	11	P07237|H7BZ94|P05307|A6H7J6|I3L514|I3L1Y5	HUMAN	57514.7	25.3	562	562.1	128.52	128.52	Protein disulfide-isomerase	11	11	5.54e+08	25.3%
0	0.52	-1.061	4.084	3.989	4.112	4.481	4.167	3.592	4.024	3.897	Q9HBM0	Q9HBM0	1	9	9	9	Q9HBM0|Q9HBM0-2|F2Z3A6|F8W088|F8VUB7|Q9HBM0-6|F8VUG0|Q9HBM0-5|F8VS43	HUMAN	89518.7	12.4	563	563.1	128.19	128.19	Vezatin	9	9	7.15e+08	12.4%
0	0.569	-0.6	2.644	2.624	2.839	2.796	2.874	3.999	2.858	4.099	P60981	P60981	1	11	8	8	P60981|P60981-2|F6RFD5	HUMAN	18961.8	65.4	564	564.1	128.12	128.12	Destrin	8	11	1.28e+09	65.4%
0	0.416	-0.384	3.088	3.398	3.282	3.926	3.293	4.822	3.157	4.927	Q52LW3	Q52LW3	1	10	9	9	Q52LW3|F8VWZ8|Q52LW3-2	HUMAN	143601.5	10.1	565	565.1	127.71	127.71	Rho GTPase-activating protein 29	9	10	3.65e+08	10.1%
0	0.647	-1.007	3.316	3.182	3.285	3.289	3.329	4.48	3.315	4.631	P49753	P49753	1	11	10	10	P49753|A0A087WT95|A0A087X0W7|Q86TX2|G3V4F2|P49753-2	HUMAN	53616.9	27.1	566	566.1	127.6	127.6	Acyl-coenzyme A thioesterase 2 mitochondrial	10	11	4.29e+09	27.1%
0	0.322	-0.78	2.371	2.704	2.663	2.582	2.569	3.982	2.548	4.124	O95373	O95373	1	15	9	8	O95373	HUMAN	120826.6	12.7	567	567.1	127.56	116.65	Importin-7	9	15	9.8e+08	12.7%
											O15397	O15397	1	1	2	1	O15397|O15397-2	HUMAN	121019.9	2.8	567	567.2	33.76	22.85	Importin-8	1	1	2110000	1.9%
0	0.837	-0.958	2.435	0.288	2.217	0.349	2.097	2.96	2.192	3.095	TGGT1_227360-t26_1-p1	TGGT1_227360-t26_1-p1	1	11	9	9	TGGT1_227360-t26_1-p1	Toxoplasma_gondii_GT1	44569.2	24.6	568	568.1	127.45	127.45	TGGT1_227360	9	11	3.04e+09	24.6%
0.079	0	-0.75	3.668	3.38	3.655	3.447	3.672	4.138	3.616	4.34	Q96EA4	Q96EA4	1	10	8	8	Q96EA4|Q96EA4-3|Q96EA4-2|D6RCL1	HUMAN	70798.5	17.6	569	569.1	127.16	127.16	Protein Spindly	8	10	5.07e+08	17.6%
0	0.176	-1.158	2.014	1.865	2.137	2.025	1.997	3.248	1.95	3.305	P30044	P30044	1	9	8	8	P30044|P30044-2|P30044-3|P30044-4	HUMAN	22314.2	55.6	570	570.1	126.69	126.69	Peroxiredoxin-5 mitochondrial	8	9	7.5e+08	55.6%
0	0.673	-0.693	3.046	2.942	3.102	3.024	3.149	4.571	3.047	4.688	A0A0U1RQE4	A0A0U1RQE4	1	13	11	11	A0A0U1RQE4|Q5HYK7|Q5HYK7-2|Q5HYK7-3|Q5HYK7-4|Q5HYK7-5	HUMAN	115424.2	11	571	571.1	126.44	126.44	SH3 domain-containing protein 19	11	13	5.46e+08	11.0%
0	0.89	-0.584	3.114	3.441	3.236	3.693	3.222	4.112	3.152	4.314	P46013	P46013	1	11	11	11	P46013|P46013-2	HUMAN	360912.4	4.4	572	572.1	126.25	126.25	Proliferation marker protein Ki-67	11	11	5.78e+08	4.4%
0	0.349	-0.663	2.788	2.689	2.853	2.906	2.942	3.52	2.772	3.607	Q16658	Q16658	1	9	9	9	Q16658	HUMAN	55156.6	22.3	573	573.1	125.96	125.96	Fascin	9	9	1.01e+09	22.3%
0	0.924	-0.737	3.967	3.76	4.164	4.037	4.228	5.213	4.094	5.279	P78318	P78318	1	11	8	8	P78318|A0A1W2PR95	HUMAN	39335.3	32.4	574	574.1	125.87	125.87	Immunoglobulin-binding protein 1	8	11	2e+09	32.4%
0	0.362	-0.82	3.492	3.535	3.582	3.679	3.764	4.597	3.592	4.4	Q7L804-2	Q7L804-2	1	10	9	9	Q7L804-2|Q7L804	HUMAN	60726.8	25.1	575	575.1	125.85	125.85	Isoform 2 of Rab11 family-interacting protein 2	9	10	2.17e+09	25.1%
0	0.318	-0.865	3.554	3.66	3.55	3.881	3.816	3.914	3.561	3.9	Q9Y6I9	Q9Y6I9	1	10	9	9	Q9Y6I9|A0A087WTU3	HUMAN	34473.2	35.7	576	576.1	125.84	125.84	Testis-expressed protein 264	9	10	1.11e+09	35.7%
0	0.62	-0.849	3.073	2.98	3.247	3.118	3.26	3.872	3.075	4.073	Q9GZR7	Q9GZR7	1	10	10	10	Q9GZR7|G3V529|Q9GZR7-2|F5GYL3|A0A1W2PRR2|A0A087WXU8	HUMAN	96957.6	13.2	577	577.1	125.37	125.37	ATP-dependent RNA helicase DDX24	10	10	9.76e+08	13.2%
0	0.406	-0.451	2.527	2.528	2.534	2.545	2.524	3.751	2.548	4.226	Q93008	Q93008	1	12	10	10	Q93008|Q93008-1|O00507|O00507-2	HUMAN	295697.8	4.3	578	578.1	124.88	124.88	Probable ubiquitin carboxyl-terminal hydrolase FAF-X	10	12	1.4e+09	4.3%
0	0.695	-0.566	3.062	2.919	3.078	2.984	3.078	4.862	3.07	4.982	Q7Z4H7	Q7Z4H7	1	11	10	10	Q7Z4H7|Q7Z4H7-3|Q5VY60|Q7Z4H7-2	HUMAN	109703.4	14	579	579.1	123.46	123.46	HAUS augmin-like complex subunit 6	10	11	3.93e+08	14.0%
0.556	-0.049	0	2.076	2.419	2.325	2.661	2.12	2.898	2.345	2.856	P09382	P09382	1	12	8	8	P09382|F8WEI7	HUMAN	15057.8	82.2	580	580.1	123.38	123.38	Galectin-1	8	12	1.45e+10	82.2%
0	0.494	-0.507	2.854	3.358	3.362	3.221	3.104	4.468	3.207	4.482	Q14C86-6	Q14C86-6	1	11	11	11	Q14C86-6|Q14C86|Q14C86-2|Q14C86-5|Q14C86-4|Q14C86-3|F8W9S7|B4DGD8|B0QZ65|A0A0A0MQV8	HUMAN	167648.8	9.8	581	581.1	123.05	123.05	Isoform 6 of GTPase-activating protein and VPS9 domain-containing protein 1	11	11	5.85e+08	9.8%
0	0.454	-0.254	3.184	2.907	3.301	3.048	3.39	5.084	3.314	5.27	Q8WU76	Q8WU76	1	9	8	8	Q8WU76|Q8WU76-2|A0A087WUD7	HUMAN	75924.5	16.6	582	582.1	122.68	122.68	Sec1 family domain-containing protein 2	8	9	7.89e+08	16.6%
0	0.399	-0.604	4.103	3.975	4.157	4.011	4.407	4.627	4.264	5.163	Q7Z434	Q7Z434	1	10	9	9	Q7Z434|Q7Z434-4|Q7Z434-2|Q7Z434-5|Q7Z434-3|Q7Z434-6	HUMAN	57097.6	25.1	583	583.1	122.45	122.45	Mitochondrial antiviral-signaling protein	9	10	5.99e+08	25.1%
0	0.778	-0.777	2.38	2.583	2.589	2.724	2.647	4.682	2.622	4.873	P48634	P48634	1	12	11	11	P48634|P48634-3|P48634-2|P48634-4	HUMAN	229315.4	6.1	584	584.1	121.98	121.98	Protein PRRC2A	11	12	4.88e+08	6.1%
0	0.289	-1.202	3.49	3.017	3.689	3.101	3.71	5.068	3.636	5.012	Q9UM82	Q9UM82	1	10	9	9	Q9UM82	HUMAN	59396.2	19	585	585.1	121.94	121.94	Spermatogenesis-associated protein 2	9	10	9.25e+08	19.0%
0	0.482	-1.11	3.676	4.24	3.795	4.207	3.837	4.836	3.779	4.974	Q96QD5	Q96QD5	1	12	10	10	Q96QD5|Q96QD5-2	HUMAN	58651	22.5	586	586.1	121.91	121.91	DEP domain-containing protein 7	10	12	1.81e+09	22.5%
0	0.89	-0.472	2.799	2.807	2.851	2.766	2.82	5.083	2.921	5.018	Q05209	Q05209	1	11	10	10	Q05209|Q05209-3|Q05209-2|F8WB51	HUMAN	88960.6	16.9	587	587.1	120.84	120.84	Tyrosine-protein phosphatase non-receptor type 12	10	11	4.5e+08	16.9%
0	0.682	-0.679	2.62	2.798	2.693	3.067	2.711	3.839	2.61	4.179	Q86SQ0	Q86SQ0	1	12	11	11	Q86SQ0|Q86SQ0-3|Q86SQ0-2|E9PGF6|G5E9V3|E9PDY7	HUMAN	142897.4	9.8	588	588.1	120.52	120.52	Pleckstrin homology-like domain family B member 2	11	12	6.55e+08	9.8%
0	0.353	-0.599	3.597	4.032	3.855	4.428	3.821	4.572	3.817	4.837	Q99081-3	Q99081-3	1	11	9	9	Q99081-3|Q99081|F5GY10|Q99081-2|Q99081-4|H0YNP8|B4DZP2|E9PH57|H3BTP3|P15884-3|A0A1B0GVR6|P15884|P15884-12|P15884-13|P15884-14|H3BPJ7|A0A1B0GVB8|P15884-10|P15884-4|P15884-5|P15884-11|P15884-7|P15884-15|A0A1B0GWD5|P15884-9|P15884-2|P15884-8|P15884-6|A0A1B0GW91|P15884-16|H0YML2|P15923-3|P15923	HUMAN	76072.1	17.5	589	589.1	120.45	120.45	Isoform 3 of Transcription factor 12	9	11	4.66e+08	17.5%
0	0.308	-0.705	4.539	4.263	4.446	4.561	4.618	4.182	4.561	4.34	Q9HD26	Q9HD26	1	9	9	9	Q9HD26|Q9HD26-2|F5H1Y4|Q9HD26-3	HUMAN	50918.4	23.1	590	590.1	120	120	Golgi-associated PDZ and coiled-coil motif-containing protein	9	9	2.28e+09	23.1%
0	0.876	-1.042	2.619	2.495	2.46	2.412	2.521	4.756	2.512	4.982	Q96HC4	Q96HC4	1	10	10	10	Q96HC4|Q96HC4-4|Q96HC4-7|Q96HC4-6|Q96HC4-2|Q96HC4-3|A0A0A0MSP3|Q96HC4-5|D6RGG6|D6RAA1|A0A0D9SFW3	HUMAN	65142.1	22.9	591	591.1	119.7	119.7	PDZ and LIM domain protein 5	10	10	4.87e+09	22.9%
0	0.465	-1.233	2.994	2.965	3.171	3.009	3.173	4.761	3.19	4.68	Q9Y2J2	Q9Y2J2	1	10	9	9	Q9Y2J2|A0A0A0MRA8|Q9Y2J2-2|A8K968|A0A0A0MSA4|Q9Y2J2-4|Q9Y2J2-3|A0A1B0GTF8|P11171|P11171-2|P11171-5|P11171-3|Q4VB86|P11171-4|P11171-6	HUMAN	121531.2	9.9	592	592.1	119.53	119.53	Band 4.1-like protein 3	10	10	1.9e+09	9.9%
0	0.285	-1.274	2.732	2.54	2.274	2.395	2.713	3.745	2.576	3.807	P43686	P43686	1	9	9	9	P43686|P43686-2|TGGT1_229950-t26_1-p1	HUMAN	47479.5	33.2	593	593.1	119.44	119.44	26S proteasome regulatory subunit 6B	9	9	3.96e+08	33.2%
0	0.378	-0.297	2.495	2.379	2.577	2.403	2.643	4.079	2.473	4.272	P33993	P33993	1	10	9	9	P33993|P33993-3|P33993-2	HUMAN	81934.1	16.9	594	594.1	119.43	119.43	DNA replication licensing factor MCM7	9	10	3.36e+08	16.9%
0	0.047	-0.851	3.936	3.567	4.028	3.713	4.037	3.515	4.103	3.796	O76024	O76024	1	10	9	9	O76024	HUMAN	101430.7	10.8	595	595.1	119.32	119.32	Wolframin	9	10	6.33e+09	10.8%
0	0.464	-0.848	2.281	2.528	2.415	2.344	2.594	3.245	2.399	3.533	Q92574	Q92574	1	13	11	11	Q92574|Q92574-2|Q86WV8	HUMAN	130734.2	11	596	596.1	119.07	119.07	Hamartin	11	13	7.69e+08	11.0%
0.943	0	-0.13	1.545	1.528	1.552	1.621	1.41	1.881	1.419	2.01	Q15582	Q15582	1	12	9	9	Q15582|D6RBX4	HUMAN	75307.2	16.5	597	597.1	119.05	119.05	Transforming growth factor-beta-induced protein ig-h3	9	12	1.68e+09	16.5%
0	0.309	-0.757	2.938	2.844	2.833	3.039	2.795	2.717	2.578	2.789	Q07020	Q07020	1	9	7	7	Q07020|Q07020-2|G3V203|F8VYV2|A0A075B7A0	HUMAN	21748.2	38.8	598	598.1	118.9	118.9	60S ribosomal protein L18	7	9	2.9e+10	38.8%
0	0.432	-0.714	2.872	2.89	3.118	3.133	3.119	4.016	3.093	4.052	Q9UPU7	Q9UPU7	1	9	9	9	Q9UPU7|Q9UPU7-2|Q9UPU7-3	HUMAN	110563.1	10.7	599	599.1	118.76	118.76	TBC1 domain family member 2B	9	9	3.74e+08	10.7%
0	0.75	-0.468	2.572	2.737	3.034	2.805	2.723	5.032	2.96	5.103	O43303	O43303	1	8	8	8	O43303|O43303-2|H3BVH3	HUMAN	114220.9	11.7	600	600.1	118.05	118.05	Centriolar coiled-coil protein of 110 kDa	8	8	8.29e+08	11.7%
0	0.783	-0.361	2.856	2.944	2.521	3.048	2.668	4.898	2.664	4.921	Q9UKV8	Q9UKV8	1	8	8	5	Q9UKV8|Q9UKV8-2	HUMAN	98461.6	13	601	601.1	117.57	60.17	Protein argonaute-2	8	8	6.6e+08	13.0%
0	0.263	-0.889	1.694	1.999	1.917	2.326	1.983	3.385	2.413	3.579	Q9H9G7	Q9H9G7	1	3	6	3	Q9H9G7|Q9H9G7-2|Q9UL18|Q5TA58|Q9HCK5	HUMAN	98556.6	11.2	601	601.2	87.43	30.03	Protein argonaute-3	3	3	57700000	5.9%
0	0.82	-0.493	3.537	3.515	3.711	3.933	3.585	4.736	3.75	4.839	Q9UPM8	Q9UPM8	1	11	9	9	Q9UPM8|Q9UPM8-2|H0YL95|H0YK95	HUMAN	128483.2	12	602	602.1	117.55	117.55	AP-4 complex subunit epsilon-1	9	11	7.21e+08	12.0%
0	0.307	-0.796	2.55	2.863	2.665	2.813	2.738	3.73	2.681	3.872	P27348	P27348	1	8	7	5	P27348|B7Z2E6	HUMAN	28049	40.8	603	603.1	117.42	89.09	14-3-3 protein theta	7	8	2.26e+09	40.8%
0	1.238	-0.836	3.095	3.153	2.978	3.202	3.163	4.472	2.977	4.531	P63104	P63104	1	4	5	3	P63104|P63104-2|B0AZS6	HUMAN	27915.8	20.8	603	603.2	77.23	48.9	14-3-3 protein zeta/delta	3	4	2.1e+08	13.8%
0	0.929	-0.236	3.553	3.317	3.483	3.446	3.632	4.678	3.418	4.722	P31946-2	P31946-2	1	2	4	2	P31946-2|P31946	HUMAN	27963.7	14.7	603	603.3	50.91	22.58	Isoform Short of 14-3-3 protein beta/alpha	2	2	1.74e+08	7.7%
0	0.807	-0.733	3.623	3.688	4.063	3.685	3.976	5.021	3.99	5.244	C9JJN9	C9JJN9	1	11	10	10	C9JJN9|Q8N3P4|Q8N3P4-3|Q8N3P4-2	HUMAN	163852.7	9.5	604	604.1	117.3	117.3	Vacuolar protein sorting-associated protein 8 homolog	10	11	3.34e+08	9.5%
0	0.704	-0.46	2.298	2.011	2.282	2.144	2.312	3.294	2.154	3.455	O95433	O95433	1	9	9	9	O95433|O95433-2|G3V3W9	HUMAN	38444.8	25.1	605	605.1	117.26	117.26	Activator of 90 kDa heat shock protein ATPase homolog 1	9	9	2.37e+09	25.1%
0	0.494	-0.518	3.152	3.097	3.255	3.048	3.206	3.444	3.244	3.717	O75808	O75808	1	11	11	11	O75808|O75808-2	HUMAN	119936.5	15.2	606	606.1	117.25	117.25	Calpain-15	11	11	6.3e+08	15.2%
0	1.053	-0.504	2.66	2.575	2.586	2.599	2.531	3.999	2.598	3.971	Q96PE2	Q96PE2	1	9	9	9	Q96PE2	HUMAN	223779.6	5.6	607	607.1	117.21	117.21	Rho guanine nucleotide exchange factor 17	9	9	3.42e+08	5.6%
0	0.723	-0.548	2.444	2.329	2.686	2.768	2.735	5.155	2.649	5.463	Q13283	Q13283	1	8	8	8	Q13283|E5RJU8|Q13283-2|E5RH00	HUMAN	52220.4	21.4	608	608.1	117	117	Ras GTPase-activating protein-binding protein 1	8	8	1.93e+09	21.4%
0	0.31	-0.717	3.851	3.614	3.824	3.784	3.937	4.607	3.902	4.701	O95721	O95721	1	10	8	8	O95721	HUMAN	28969.8	43.7	609	609.1	116.88	116.88	Synaptosomal-associated protein 29	8	10	1.63e+09	43.7%
0	1.004	-0.43	3.318	3.39	3.284	3.544	3.43	5.886	3.457	5.977	Q6ZSR9	Q6ZSR9	1	7	7	7	Q6ZSR9	HUMAN	38203.6	27.8	610	610.1	116.76	116.76	Uncharacterized protein FLJ45252	7	7	8.78e+08	27.8%
0.29	0	-1.125	1.624	-0.388	1.744	-0.237	1.214	2.539	1.299	2.511	TGGT1_231630-t26_1-p1	TGGT1_231630-t26_1-p1	1	10	9	9	TGGT1_231630-t26_1-p1	Toxoplasma_gondii_GT1	50627.3	23	611	611.1	116.69	116.69	TGGT1_231630	9	10	3.16e+09	23.0%
0	0.56	-0.697	4.963	4.916	4.861	4.851	5.034	4.772	4.943	5.067	O00213	O00213	1	11	8	6	O00213|J3KPL8|O00213-2|A0A075B7G8|O00213-5|O00213-3|O00213-6|A0A087WYH9|O00213-4|A0A087X0V7|V9GYR7	HUMAN	77984.5	14.6	612	612.1	116.38	93.7	Amyloid-beta A4 precursor protein-binding family B member 1	8	11	2.59e+09	14.6%
-0.205	0.19		3.015	2.856	2.545	2.928	2.928	2.629	2.92	3.18	Q92870-4	Q92870-4	1	1	3	1	Q92870-4|Q92870|G5E9Y1|Q92870-2|Q92870-3	HUMAN	84356.2	3.4	612	612.2	28.37	5.69	Isoform 4 of Amyloid-beta A4 precursor protein-binding family B member 2	1	1	1.16e+08	1.3%
0	1.532	-0.794	2.647	2.874	2.889	2.808	3.172	5.595	3.025	5.756	Q9UPQ0	Q9UPQ0	1	8	8	8	Q9UPQ0|Q9UPQ0-4|Q9UPQ0-2|Q9UPQ0-10|D6RD46|Q9UPQ0-3|G5EA03|E9PDJ9|Q9UPQ0-5|Q9UPQ0-6|E7EPK0|Q9UPQ0-8|Q9UPQ0-9|Q6NVB9|D6RJ93|Q9UPQ0-7	HUMAN	122892	9.8	613	613.1	116.26	116.26	LIM and calponin homology domains-containing protein 1	8	8	4.72e+08	9.8%
0	0.413	-0.978	2.586	2.525	2.641	2.557	2.685	3.578	2.624	3.418	P22087	P22087	1	8	7	7	P22087|A6NHQ2	HUMAN	33897.7	28	614	614.1	116.25	116.25	rRNA 2'-O-methyltransferase fibrillarin	7	8	1.03e+09	28.0%
0	0.396	-0.45	3.046	2.993	3.138	3.12	2.961	3.789	3.181	3.987	Q9BQG0-2	Q9BQG0-2	1	10	10	10	Q9BQG0-2|Q9BQG0	HUMAN	150334.3	8.6	615	615.1	116.24	116.24	Isoform 2 of Myb-binding protein 1A	10	10	4.46e+08	8.6%
0.22	0	-0.27	3.963	4.091	4.167	4.299	4.123	3.495	4.236	3.582	Q9H2G9	Q9H2G9	1	9	8	8	Q9H2G9|Q9H2G9-2	HUMAN	45251.8	27	616	616.1	116.21	116.21	Golgin-45	8	9	2.29e+09	27.0%
0	0.264	-0.609	3.36	3.559	3.696	3.778	3.642	3.704	3.549	3.96	P04844	P04844	1	9	7	7	P04844|P04844-2	HUMAN	69396.8	19.4	617	617.1	116.09	116.09	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	7	9	1.06e+09	19.4%
0	0.347	-0.764	3.871	3.871	3.815	4.102	4.066	4.148	3.929	4.277	O95405	O95405	1	11	10	10	O95405|O95405-2|O95405-3	HUMAN	159024.6	7.9	618	618.1	116	116	Zinc finger FYVE domain-containing protein 9	10	11	9.68e+08	7.9%
0	0.405	-0.618	2.906	2.51	2.663	2.575	2.695	3.199	2.704	3.455	Q3KQU3	Q3KQU3	1	9	9	9	Q3KQU3|Q3KQU3-2|Q3KQU3-4|Q3KQU3-3	HUMAN	93160.6	12.8	619	619.1	115.92	115.92	MAP7 domain-containing protein 1	9	9	1.26e+09	12.8%
0	0.288	-0.74	2.521	2.638	2.69	2.71	2.81	3.69	2.769	3.904	A0A1P0AYU5	A0A1P0AYU5	1	10	10	9	A0A1P0AYU5|Q9BWM7|S4R3N9|D6RAE9	HUMAN	36320.6	33.8	620	620.1	115.56	110.66	Sideroflexin	10	10	5.75e+08	33.8%
0	0.471	-0.556	2.974	2.925	3.072	3.06	3.245	4	3.093	4.158	Q9H9B4	Q9H9B4	1	4	4	3	Q9H9B4|S4R2X2	HUMAN	35904.1	13	620	620.2	30.11	25.21	Sideroflexin-1	3	4	4.29e+08	10.2%
0	0.386	-0.28	3.2	3.196	3.4	3.282	3.374	3.825	3.35	3.926	P46977	P46977	1	10	8	8	P46977|P46977-2	HUMAN	81155.7	13.1	621	621.1	115.5	115.5	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	8	10	2.64e+09	13.1%
0	0.593	-0.661	3.051	3.327	3.142	3.349	3.208	4.379	3.111	4.667	Q9UEY8	Q9UEY8	1	9	9	9	Q9UEY8|Q9UEY8-2	HUMAN	79495.5	18.8	622	622.1	115.42	115.42	Gamma-adducin	9	9	1.2e+09	18.8%
0	0.321	-0.753	2.523	2.497	2.828	2.69	2.698	3.828	2.8	3.921	E7ESZ7	E7ESZ7	1	11	10	10	E7ESZ7|A0A087WXC5|O95299|O95299-2|Q8N1B9	HUMAN	45079.7	29.2	623	623.1	115.39	115.39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10 mitochondrial	10	11	1.59e+09	29.2%
0	0.535	-0.363	2.686	2.581	2.897	2.797	2.871	3.496	2.895	3.861	P11216	P11216	1	10	9	6	P11216|P11217|P11217-2	HUMAN	97378.8	13.8	624	624.1	115.36	68.48	Glycogen phosphorylase brain form	9	10	4.02e+08	13.8%
0	0.314	-0.207	2.598	2.632	2.836	2.709	2.592	4.097	2.681	3.997	P06737	P06737	1	4	6	3	P06737|E9PK47|P06737-2	HUMAN	97546.2	8.2	624	624.2	84.87	37.99	Glycogen phosphorylase liver form	3	4	1.06e+08	3.8%
0	1.015	-0.04	3.659	3.707	3.961	3.648	3.968	5.356	3.743	5.417	Q8IWB9-2	Q8IWB9-2	1	9	7	7	Q8IWB9-2|A0A087WVA8|Q8IWB9	HUMAN	126623.8	11.1	625	625.1	115.19	115.19	Isoform 2 of Testis-expressed protein 2	7	9	5.63e+08	11.1%
0	0.559	-0.84	3.36	3.4	3.409	3.634	3.598	4.294	3.898	4.592	O95372	O95372	1	12	7	7	O95372|Q5QPQ0|Q5QPQ3|Q5QPQ2|Q5QPN9	HUMAN	25078.9	37.2	626	626.1	114.69	114.69	Acyl-protein thioesterase 2	7	12	6.45e+09	37.2%
0	0.597	-0.546	4.011	4.185	4.008	4.264	4.053	4.752	4.115	4.961	Q14938-6	Q14938-6	1	7	7	1	Q14938-6|Q14938-3|Q14938-5|C9JWJ8|K7EMQ5|Q12857-3|A0A1B0GU97|A0A1B0GW37|Q12857-4|B1AKN8|Q12857|Q12857-2|B1AKN5|B1AKN7|B1AKN6	HUMAN	48366.6	17.5	627	627.1	114.5	13.19	Isoform 6 of Nuclear factor 1 X-type	7	7	4.38e+08	17.5%
											Q14938-4	Q14938-4	1	1	7	1	Q14938-4|Q14938|Q14938-2|K7EN08	HUMAN	54597.6	14.7	627	627.2	111.83	10.52	Isoform 4 of Nuclear factor 1 X-type	1	1	2070000	3.2%
	0.166	-1.448	3.84	3.998	3.831	4.153	3.908	4.408	3.706	4.578	P08651-2	P08651-2	1	1	2	1	P08651-2|P08651-3|P08651-4|A0A286YEX4|P08651|P08651-6|P08651-5	HUMAN	55080.2	5	627	627.3	41.28	16.73	Isoform 1 of Nuclear factor 1 C-type	1	1	1.9e+08	2.0%
0	0.252	-0.76	2.111	0.534	2.125	0.524	2.21	3.402	2.11	3.658	TGGT1_294200-t26_1-p1	TGGT1_294200-t26_1-p1	1	10	8	8	TGGT1_294200-t26_1-p1|TGGT1_278830-t26_1-p1	Toxoplasma_gondii_GT1	62963.5	19.8	628	628.1	114.45	114.45	TGGT1_294200	9	10	1.41e+09	19.8%
0	1.297	-2.186	2.609	2.299	2.387	2.501	2.664	3.518	2.134	3.489	O15143	O15143	1	9	9	8	O15143	HUMAN	41747.8	31.7	629	629.1	114.3	92.15	Actin-related protein 2/3 complex subunit 1B	9	9	1.68e+09	31.7%
0	0.995	-1.099	2.536	2.601	2.447	2.433	2.71	3.877	2.544	3.928	Q92747-2	Q92747-2	1	2	3	2	Q92747-2	HUMAN	39286.9	15	629	629.2	41.19	19.04	Isoform 2 of Actin-related protein 2/3 complex subunit 1A	2	2	12600000	8.4%
0	0.044	-0.425	3.376	3.418	3.489	3.531	3.487	4.61	3.375	4.593	P40692	P40692	1	9	9	9	P40692|P40692-3|P40692-2	HUMAN	85227	14.1	630	630.1	114.3	114.3	DNA mismatch repair protein Mlh1	9	9	1.3e+09	14.1%
0	0.374	-1.103	2.892	2.69	2.736	2.858	2.86	3.867	2.727	3.826	O00567	O00567	1	10	8	8	O00567	HUMAN	66448.1	17.8	631	631.1	114.18	114.18	Nucleolar protein 56	8	10	8.86e+08	17.8%
0	0.324	-0.741	3.706	3.465	3.824	3.746	3.948	4.289	3.811	4.378	Q9Y217	Q9Y217	1	10	9	9	Q9Y217|Q9Y217-2	HUMAN	72822.4	17.8	632	632.1	114.11	114.11	Myotubularin-related protein 6	9	10	1.19e+09	17.8%
0	0.64	-0.121	2.848	2.871	2.951	3.041	2.985	4.466	2.829	4.965	Q8WUY3-3	Q8WUY3-3	1	10	10	10	Q8WUY3-3|Q8WUY3-2|Q8WUY3|A0A088AWP5|Q8WUY3-4|E9PDC2|X6R9J3	HUMAN	343195.5	3.9	633	633.1	114.04	114.04	Isoform 3 of Protein prune homolog 2	10	10	2.79e+08	3.9%
0	0.414	-0.978	3.708	3.841	3.556	3.733	3.737	3.61	3.657	3.732	P18031	P18031	1	9	9	9	P18031|B4DSN5	HUMAN	50536.5	22	634	634.1	114.02	114.02	Tyrosine-protein phosphatase non-receptor type 1	9	9	7.18e+08	22.0%
0	0.379	-0.642	2.994	2.809	2.962	2.985	3.033	4.232	2.891	4.3	P07858	P07858	1	8	6	6	P07858|E9PCB3	HUMAN	38790.8	19.7	635	635.1	113.83	113.83	Cathepsin B	6	8	1.91e+09	19.7%
